Date,Open,High,Low,Close,Volume,Change
2024-12-18,12650,14450,8920,8960,38941640,
2024-12-19,8600,10280,8160,8550,15425625,-0.0457589285714286
2024-12-20,8400,9130,8080,8360,5450927,-0.0222222222222222
2024-12-23,8430,8990,8200,8390,3259522,0.0035885167464115
2024-12-24,8250,8320,7380,7430,1522675,-0.1144219308700834
2024-12-26,7500,8240,7210,7220,1892817,-0.0282637954239569
2024-12-27,7090,7450,6500,6500,933869,-0.0997229916897507
2024-12-30,6290,6710,6290,6340,383374,-0.0246153846153845
2025-01-02,6400,6650,6260,6330,322197,-0.001577287066246
2025-01-03,6500,8050,6310,7530,6120373,0.1895734597156397
2025-01-06,7700,9170,7360,8580,12987559,0.1394422310756973
2025-01-07,8400,9290,8360,8490,5129923,-0.0104895104895105
2025-01-08,8530,9200,8270,8440,3284796,-0.0058892815076561
2025-01-09,8800,10100,8720,8910,13013046,0.0556872037914693
2025-01-10,9130,9650,8720,8720,3420759,-0.021324354657688
2025-01-13,8630,9270,8510,8730,1435251,0.0011467889908256
2025-01-14,8710,9000,8020,8300,1181242,-0.0492554410080183
2025-01-15,8420,8500,7580,7630,645679,-0.0807228915662651
2025-01-16,7730,8180,7590,7740,787074,0.0144167758846658
2025-01-17,7670,8110,7640,7870,396082,0.0167958656330748
2025-01-20,7800,7870,6800,6830,948912,-0.1321473951715375
2025-01-21,6900,7100,6510,6600,464242,-0.0336749633967788
2025-01-22,6620,7250,6620,6790,648961,0.0287878787878788
2025-01-23,7010,7700,6910,7200,2227861,0.0603829160530191
2025-01-24,7570,7910,7310,7330,1636109,0.0180555555555554
2025-01-31,7900,9130,7490,8700,6445871,0.1869031377899044
2025-02-03,8850,9850,8620,8900,4608530,0.0229885057471264
2025-02-04,8920,10740,8720,9700,9946840,0.0898876404494382
2025-02-05,9880,10250,9600,10060,3334551,0.0371134020618557
2025-02-06,10570,13070,10530,13070,14261230,0.2992047713717694
2025-02-07,12600,13400,12080,12430,8511800,-0.0489671002295333
2025-02-10,12830,14240,12530,13000,10957241,0.0458567980691875
2025-02-11,12990,13590,12670,13200,3652970,0.0153846153846153
2025-02-12,14460,15070,11300,11340,9953749,-0.1409090909090908
2025-02-13,11140,11670,10650,11150,2764406,-0.0167548500881834
2025-02-14,11400,11970,10990,11030,2249579,-0.010762331838565
2025-02-17,11480,13240,11340,12950,8333190,0.1740707162284678
2025-02-18,12980,13580,12590,13400,4399432,0.0347490347490346
2025-02-19,13800,13810,12530,12800,2009017,-0.044776119402985
2025-02-20,12920,16100,12630,13700,21621413,0.0703125
2025-02-21,14210,15050,12790,12850,8048453,-0.0620437956204379
2025-02-24,12890,13060,12190,12280,1232272,-0.0443579766536964
2025-02-25,12040,12990,11710,12720,1893188,0.0358306188925081
2025-02-26,12230,12640,11880,11940,1027152,-0.0613207547169811
2025-02-27,12250,12460,11340,11570,788283,-0.0309882747068677
2025-02-28,11150,11260,10730,10980,561933,-0.0509939498703543
2025-03-04,10790,10950,10140,10900,557936,-0.0072859744990892
2025-03-05,11420,11520,10900,11190,974932,0.026605504587156
2025-03-06,11120,11330,9850,9850,799043,-0.1197497765862377
2025-03-07,9700,9700,8850,9310,508347,-0.0548223350253807
2025-03-10,9210,9670,8900,9300,390300,-0.0010741138560687
2025-03-11,8950,9290,8940,9280,184254,-0.0021505376344086
2025-03-12,9360,9500,9210,9420,306852,0.0150862068965518
2025-03-13,9420,11170,9420,10350,7196794,0.0987261146496816
2025-03-14,10340,10950,10100,10500,1354204,0.0144927536231884
2025-03-17,10770,10800,10170,10340,448764,-0.0152380952380952
2025-03-18,10470,12850,10440,12270,15542442,0.1866537717601546
2025-03-19,12170,12180,11450,11500,1465525,-0.0627546862265688
2025-03-20,11680,12310,11230,11260,2754109,-0.0208695652173912
2025-03-21,10980,11060,10200,10430,675449,-0.0737122557726465
2025-03-24,10520,10660,10100,10100,432416,-0.0316395014381591
2025-03-25,10490,11530,10340,10400,3728659,0.0297029702970297
2025-03-26,10330,10510,10120,10230,497844,-0.0163461538461539
2025-03-27,10470,11040,10200,10300,1046366,0.0068426197458455
2025-03-28,10570,11070,10360,10600,1364564,0.0291262135922329
2025-03-31,10850,11260,9180,10020,3874379,-0.0547169811320754
2025-04-01,9990,10450,9990,10050,631120,0.0029940119760478
2025-04-02,10340,11590,10110,11170,6359868,0.1114427860696516
2025-04-03,10650,11060,10540,10800,1111979,-0.0331244404655326
2025-04-04,10630,10640,9500,9640,1110515,-0.1074074074074074
2025-04-07,9200,9230,8500,8500,528205,-0.1182572614107884
2025-04-08,8820,8930,8100,8240,413820,-0.0305882352941176
2025-04-09,7950,8490,7950,8250,336026,0.0012135922330096
2025-04-10,8710,9380,8500,8790,1268923,0.0654545454545454
2025-04-11,9270,11420,9060,11420,8292651,0.2992036405005689
2025-04-14,11330,13590,11280,12630,14773089,0.1059544658493869
2025-04-15,12740,14010,12630,13090,5163473,0.0364212193190816
2025-04-16,13510,14460,13280,13350,9459378,0.0198624904507256
2025-04-17,13240,13470,12850,13110,1405069,-0.0179775280898876
2025-04-18,13920,16400,13360,15590,20712733,0.1891685736079329
2025-04-21,15890,16700,14940,15240,4884949,-0.0224502886465682
2025-04-22,14900,16110,14550,15300,4016714,0.0039370078740157
2025-04-23,15130,15180,13910,14100,1844199,-0.0784313725490196
2025-04-24,14110,14610,13390,13450,1226156,-0.0460992907801418
2025-04-25,13560,13840,13180,13490,888685,0.0029739776951673
2025-04-28,13360,13360,12490,12710,810136,-0.0578206078576724
2025-04-29,12800,13180,12500,12860,741960,0.0118017309205349
2025-04-30,13150,13890,12220,12550,2207776,-0.0241057542768273
2025-05-02,12560,13180,12200,12880,670155,0.0262948207171314
2025-05-07,12560,12660,12030,12480,725230,-0.0310559006211179
2025-05-08,12860,14140,12860,13620,4528345,0.0913461538461537
2025-05-09,14020,14950,13150,13500,3618709,-0.0088105726872246
2025-05-12,13620,14000,13190,13510,911941,0.0007407407407407
2025-05-13,13630,14290,13570,14200,1796309,0.0510732790525536
2025-05-14,13900,14050,13250,13330,994471,-0.0612676056338028
2025-05-15,13310,13430,12720,13300,599394,-0.0022505626406601
2025-05-16,13300,13350,12480,12510,599230,-0.0593984962406014
2025-05-19,12170,12690,12170,12300,214487,-0.0167865707434052
2025-05-20,12310,12800,12310,12440,270861,0.0113821138211382
2025-05-21,12300,12850,12270,12780,350621,0.0273311897106109
2025-05-22,12530,12790,12210,12300,455155,-0.0375586854460093
2025-05-23,12300,12580,11210,11400,681277,-0.073170731707317
2025-05-26,11410,11950,11410,11770,223955,0.0324561403508771
2025-05-27,11930,12030,11610,11800,176536,0.0025488530161428
2025-05-28,11960,14740,11840,13880,10427820,0.176271186440678
2025-05-29,14350,14450,13190,13890,4521458,0.0007204610951008
2025-05-30,13780,15470,13510,14110,9703687,0.0158387329013678
2025-06-02,14390,14520,13560,14020,1691239,-0.0063784549964563
2025-06-04,13770,13990,13140,13270,874588,-0.0534950071326676
2025-06-05,13400,13630,12940,13140,658083,-0.0097965335342878
2025-06-09,13140,13860,12950,13660,1348114,0.0395738203957383
2025-06-10,13810,13880,13460,13600,667170,-0.0043923865300146
2025-06-11,13820,14060,13530,13660,769325,0.0044117647058823
2025-06-12,13520,13640,13210,13290,379302,-0.0270863836017569
2025-06-13,13330,13400,12410,12650,520438,-0.0481565086531226
2025-06-16,12380,12970,12370,12870,266601,0.0173913043478259
2025-06-17,12790,12950,12390,12570,259202,-0.0233100233100232
